application/1d-interleaved-parityfec,1d-interleaved-parityfec,[RFC6015],
application/3gpdash-qoe-report+xml,3gpdash-qoe-report+xml,[_3GPP][Ozgur_Oyman],
application/3gpp-ims+xml,3gpp-ims+xml,[John_M_Meredith],
application/A2L,A2L,[ASAM][Thomas_Thomsen],
application/activemessage,activemessage,[Ehud_Shapiro],
application/activity+json,activity+json,[W3C][Benjamin_Goering],
application/alto-costmap+json,alto-costmap+json,[RFC7285],
application/alto-costmapfilter+json,alto-costmapfilter+json,[RFC7285],
application/alto-directory+json,alto-directory+json,[RFC7285],
application/alto-endpointprop+json,alto-endpointprop+json,[RFC7285],
application/alto-endpointpropparams+json,alto-endpointpropparams+json,[RFC7285],
application/alto-endpointcost+json,alto-endpointcost+json,[RFC7285],
application/alto-endpointcostparams+json,alto-endpointcostparams+json,[RFC7285],
application/alto-error+json,alto-error+json,[RFC7285],
application/alto-networkmapfilter+json,alto-networkmapfilter+json,[RFC7285],
application/alto-networkmap+json,alto-networkmap+json,[RFC7285],
application/alto-updatestreamcontrol+json,alto-updatestreamcontrol+json,[RFC-ietf-alto-incr-update-sse-22],
application/alto-updatestreamparams+json,alto-updatestreamparams+json,[RFC-ietf-alto-incr-update-sse-22],
application/AML,AML,[ASAM][Thomas_Thomsen],
application/andrew-inset,andrew-inset,[Nathaniel_Borenstein],
application/applefile,applefile,[Patrik_Faltstrom],
application/ATF,ATF,[ASAM][Thomas_Thomsen],
application/ATFX,ATFX,[ASAM][Thomas_Thomsen],
application/atom+xml,atom+xml,[RFC4287][RFC5023],
application/atomcat+xml,atomcat+xml,[RFC5023],
application/atomdeleted+xml,atomdeleted+xml,[RFC6721],
application/atomicmail,atomicmail,[Nathaniel_Borenstein],
application/atomsvc+xml,atomsvc+xml,[RFC5023],
application/atsc-dwd+xml,atsc-dwd+xml,[ATSC],
application/atsc-dynamic-event-message,atsc-dynamic-event-message,[ATSC],
application/atsc-held+xml,atsc-held+xml,[ATSC],
application/atsc-rdt+json,atsc-rdt+json,[ATSC],
application/atsc-rsat+xml,atsc-rsat+xml,[ATSC],
application/ATXML,ATXML,[ASAM][Thomas_Thomsen],
application/auth-policy+xml,auth-policy+xml,[RFC4745],
application/bacnet-xdd+zip,bacnet-xdd+zip,[ASHRAE][Dave_Robin],
application/batch-SMTP,batch-SMTP,[RFC2442],
application/beep+xml,beep+xml,[RFC3080],
application/calendar+json,calendar+json,[RFC7265],
application/calendar+xml,calendar+xml,[RFC6321],
application/call-completion,call-completion,[RFC6910],
application/CALS-1840,CALS-1840,[RFC1895],
application/cap+xml,cap+xml,[RFC-ietf-ecrit-data-only-ea-22],
application/cbor,cbor,[RFC7049],
application/cbor-seq,cbor-seq,[RFC8742],
application/cccex,cccex,[_3GPP],
application/ccmp+xml,ccmp+xml,[RFC6503],
application/ccxml+xml,ccxml+xml,[RFC4267],
application/CDFX+XML,CDFX+XML,[ASAM][Thomas_Thomsen],
application/cdmi-capability,cdmi-capability,[RFC6208],
application/cdmi-container,cdmi-container,[RFC6208],
application/cdmi-domain,cdmi-domain,[RFC6208],
application/cdmi-object,cdmi-object,[RFC6208],
application/cdmi-queue,cdmi-queue,[RFC6208],
application/cdni,cdni,[RFC7736],
application/CEA,CEA,[ASAM][Thomas_Thomsen],
