text/csv,CSV
application/vnd.geo+json,GEOJSON
text/calendar,ICS
application/json,JSON
application/vnd.google-earth.kml+xml,KML
application/vnd.google-earth.kmz,KMZ
,NETCDF
application/vnd.oasis.opendocument.spreadsheet,ODS
application/n-quads,RDF_N_QUADS
text/n3,RDF_N_TRIPLES
,RDF_TRIG
text/turtle,RDF_TURTLE
application/rdf+xml,RDF_XML
,RDFA
application/rss+xml,RSS
application/x-zipped-shp,SHP
application/vnd.ms-excel,XLS
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,XLSX
text/xml,XML

