image/bmp,BMP
text/csv,CSV
application/dbf,DBF
application/vnd.geo+json,GEOJSON
application/gzip,GZIP
text/html,HTML
text/calendar,ICS
image/jpeg,JPEG2000
application/json,JSON
application/vnd.google-earth.kml+xml,KML
application/vnd.google-earth.kmz,KMZ
,NETCDF
application/vnd.oasis.opendocument.spreadsheet,ODS
image/png,PNG
application/n-quads,RDF_N_QUADS
text/n3,RDF_N_TRIPLES
,RDF_TRIG
text/turtle,RDF_TURTLE
application/rdf+xml,RDF_XML
application/rss+xml,RSS
text/rtf,RTF
,TAR
image/tiff,TIFF
text/tab-separated-values,TSV
text/plain,TXT
application/vnd.ogc.wms_xml,WMS_SRVC
text/xml,XML
application/zip,ZIP

